nom lambda0 phi0 phi1 phi2 X0 Y0 ellipse
CC42 3 42 41.25 42.75 1700000 1200000 IAG_GRS_1980
CC43 3 43 42.25 43.75 1700000 2200000 IAG_GRS_1980
CC44 3 44 43.25 44.75 1700000 3200000 IAG_GRS_1980
CC45 3 45 44.25 45.75 1700000 4200000 IAG_GRS_1980
CC46 3 46 45.25 46.75 1700000 5200000 IAG_GRS_1980
CC47 3 47 46.25 47.75 1700000 6200000 IAG_GRS_1980
CC48 3 48 47.25 48.75 1700000 7200000 IAG_GRS_1980
CC49 3 49 48.25 49.75 1700000 8200000 IAG_GRS_1980
CC50 3 50 49.25 50.75 1700000 9200000 IAG_GRS_1980
Lambert93 3 46.5 44 49 700000 6600000 IAG_GRS_1980
