# 
# Coordonnées des stations du Réseau GNSS Permanent.
# Elles sont exprimées dans le système de référence légal français, c'est-à-dire :
#  - le RGF93, pour les stations situées en Métropole
#  - le WGS84, pour les stations situées en Guadeloupe et en Martinique
#  - le RGFG95, pour les stations situées en Guyane
#  - le RGR92, pour les stations situées à la Réunion
#  - le RGM04, pour les stations situées à Mayotte
#  - le RGSPM06, pour les stations situées à Saint Pierre et Miquelon
# 
# Après les 3 premières lignes d'en-tête, le format du fichier est le suivant :
#  - SITE      : [ %4s] L'acronyme de la station
#  - X,Y,Z     : [ %12.3f]x3 Les coordonnées cartésiennes exprimées en mètres
#  - lat       : [ %14.9f] La latitude exprimée en "deg.minsec" comptée positivement vers le nord
#  - lon       : [ %14.9f] La longitude exprimée en "deg.minsec" comptée positivement vers l'est
#  - he        : [ %9.3f] La hauteur sur l'ellipsoïde exprimée en mètres
#  - ha        : [ %7.4f] La hauteur d'antenne exprimée en mètres et mesurée depuis le repère jusqu'au plan de réferénce de l'antenne (ARP). La définition de l'ARP dépend du modèle d'antenne. Il est très souvent defini comme etant le BPA (Bottom of Pre-Amplifier)
#  - systeme
#    de ref.   : [ %9s] système de référence dans lequel sont exprimées les coordonnées
#  - statut de
#    stabilité : [     %1s] Le statut de stabilité annuel est un critère de stabilité à long terme (pour de plus amples informations http://rgp.ign.fr/STATIONS/statut_stab.php)
# 
# Ces informations sont valides à la date du 03/04/2018.
# 

 SITE       X            Y            Z            lat            lon          he      ha      systeme    statut de
           (m)          (m)          (m)       (deg.minsec)   (deg.minsec)     (m)     (m)     de ref.    stabilité
------------------------------------------------------------------------------------------------------------------
 ABMF  2919786.448 -5383745.178  1774604.734   16.154429584  -61.313911167   -25.112  0.0000     WGS84     N
 AGDE  4640976.542   281124.423  4351569.571   43.174696586    3.275912112    65.787  0.0000     RGF93     B
 AGDS  4639701.988   281689.035  4352886.605   43.184553712    3.282754951    68.164  0.0000     RGF93     B
 AGEN  4581960.504    48907.233  4421939.604   44.102104971    0.364155932   113.745  0.0000     RGF93     B
 AICI  4645961.623   -82264.492  4354613.325   43.200081880   -1.005188047   121.413  0.0000     RGF93     B
 AIGL  4578300.243   286538.590  4418911.510   44.071702146    3.345252237  1618.754  0.0000     RGF93     B
 AILT  4278646.384   250892.595  4707853.382   47.523722951    3.212118556   186.797  0.0000     RGF93     B
 AJAC  4696989.704   723994.209  4239678.314   41.553883632    8.454539953    98.791  0.0000     RGF93     B
 ALBI  4597504.062   171539.238  4402971.017   43.560302628    2.081245699   206.966  0.0000     RGF93     B
 ALBM  4596468.562   172757.694  4404020.172   43.564974087    2.090878952   222.722  0.0000     RGF93     N
 ALPE  4486705.961   478180.435  4495489.406   45.051180021    6.050044934  1892.203  0.0000     RGF93     B
 ALU2  4345780.725   275454.834  4645176.501   47.023079255    3.373651064   324.050  0.0000     RGF93     B
 AMB2  4465758.980   292711.497  4530070.172   45.322609207    3.450046861   617.612  0.0000     RGF93     B
 AMIY  4273858.012   203654.503  4714385.292   47.575410261    2.434133840   150.450  0.0000     RGF93     B
 AMNS  4116794.617   160911.763  4852750.001   49.513178711    2.141810097    90.063  0.0000     RGF93     B
 ANAY  4483965.198   367205.906  4506507.739   45.142518283    4.405405880   440.928  0.0720     RGF93     B
 ANDE  4194381.816   363592.638  4775429.442   48.472684952    4.571560960   221.080  0.0000     RGF93     B
 ANGE  4319045.059   -41299.214  4677465.140   47.281886102   -0.325226809   106.082  0.0000     RGF93     B
 ANGL  4404491.772  -108111.129  4596491.055   46.242011893   -1.242188805    56.694  0.0720     RGF93     B
 ANNY  4421547.931   473639.068  4557726.834   45.535223249    6.065128332   521.258  0.0000     RGF93     N
 ARAN  4441254.306   421756.856  4543411.424   45.425485274    5.252905456   289.164  0.0000     RGF93     B
 ARDN  4291843.252   140308.464  4700485.678   47.464175491    1.522078545   191.334  0.0000     RGF93     B
 ARNA  4280178.627    13513.521  4712967.054   47.564746595    0.105122388    96.765  0.0000     RGF93     B
 ARUF  4664624.069   -35100.749  4335912.462   43.055836225   -0.255208918   482.010  0.0000     RGF93     B
 ATHI  4135092.737   265558.949  4832733.723   49.344838754    3.402832419   125.201  0.0000     RGF93     B
 ATST  4672299.826   768137.209  4259972.660   42.100578694    9.200977379   740.436  0.0000     RGF93     B
 AUBU  4224987.114   533493.068  4733835.176   48.130064989    7.114813420  1151.809  0.0000     RGF93     B
 AUCH  4622373.428    46848.799  4380155.604   43.385820465    0.345046883   232.046  0.0000     RGF93     A
 AUNI  4429452.013   -73344.605  4573321.733   46.061411556   -0.565510153    80.060  0.0000     RGF93     B
 AUT2  4347959.800   327189.397  4639848.899   46.581693611    4.181248456   349.212  0.0000     RGF93     N
 AUTN  4349466.207   326196.025  4638521.758   46.571381574    4.172029458   353.603  0.0000     RGF93     A
 AVAL  4307494.024   294812.551  4679277.612   47.293841332    3.545514904   312.380  0.0000     RGF93     B
 AVRA  4217979.518  -100361.377  4767378.258   48.405445061   -1.214687891   145.695  0.0000     RGF93     B
 AXPV  4614667.154   430786.234  4367411.307   43.292836132    5.195949265   229.378  0.0000     RGF93     B
 BACT  4535591.660   528760.906  4439820.141   44.231563207    6.385836690  1205.162  0.0000     RGF93     A
 BAL2  4244575.168   561846.784  4711930.528   47.555135459    7.322509611   264.483  0.0000     RGF93     B
 BANN  4555128.109   331016.066  4437759.758   44.220911617    4.092273158   357.620  0.0000     RGF93     B
 BARD  4493873.245     -790.169  4511160.728   45.180866897   -0.003626806   155.696  0.0000     RGF93     B
 BARY  4669389.511    54761.723  4330833.854   43.020852113    0.401892400   633.518  0.0000     RGF93     A
 BAS2  4688442.312   746674.344  4246295.223   42.000519767    9.025585432   855.134  0.0000     RGF93     B
 BAUG  4313949.388    -6626.887  4682318.924   47.321127594   -0.051685409   112.649  0.0000     RGF93     N
 BDRL  4381920.059  4411503.369 -1415798.099  -12.543924130   45.113392458    -4.133  0.0000     RGM04     N
 BEAU  4153594.520   150985.672  4821870.854   49.254680016    2.045455056   128.886  0.0000     RGF93     A
 BEAV  4152163.008   152444.121  4823073.882   49.264598981    2.060948613   147.200  0.0000     RGF93     B
 BGBC  4222865.475  -332088.341  4752591.025   48.285162070   -4.294745714   124.501  0.0000     RGF93     N
 BIAZ  4634456.442  -124345.523  4365785.066   43.281905838   -1.321289337   121.418  0.0000     RGF93     A
 BLFT  4275997.638   514310.681  4689252.360   47.373331225    6.513061642   416.490  0.0000     RGF93     B
 BLG2  4404019.492   429807.465  4578882.945   46.101837681    5.342673323   544.718  0.0000     RGF93     B
 BLVR  4302995.834   498731.732  4666742.004   47.192452145    6.364059013   714.533  0.0000     RGF93     B
 BMHG  4134869.710  -132082.779  4838513.617   49.393311405   -1.494660849   231.243  0.0720     RGF93     B
 BMNT  4604376.674    78544.178  4398400.247   43.523874234    0.583824571   166.603  0.0000     RGF93     B
 BOGU  4151675.343    80688.551  4825309.543   49.283454736    1.064828868   220.575  0.0720     RGF93     N
 BOUG  4342504.819  -124404.104  4654386.794   47.095612102   -1.382745965   118.094  0.0000     RGF93     B
 BOUS  4412263.964   172259.239  4587828.249   46.171667414    2.140869863   558.489  0.0000     RGF93     B
 BOVE  4153483.190   153694.276  4821891.655   49.254753256    2.070908167   136.896  0.0000     RGF93     B
 BPAN  3362326.257  4918502.783 -2269570.022  -20.585454717   55.383547938   151.919  0.0000     RGR92     N
 BRDO  4625075.950   771885.580  4309203.781   42.462861861    9.282946785    69.492  0.0000     RGF93     B
 BRE2  4370725.943   -36125.500  4629768.245   46.502274931   -0.282480824   245.099  0.0000     RGF93     B
 BRET  4221686.534   170665.627  4762123.818   48.363719990    2.185390979   140.271  0.0000     RGF93     B
 BRMF  4443792.826   383966.839  4544229.070   45.433385764    4.561819784   256.853  0.0000     RGF93     B
 BRMH  4177764.193   565435.094  4770362.223   48.431891497    7.422808306   197.254  0.0000     RGF93     N
 BRMZ  4275555.285    35633.397  4717101.778   48.000522171    0.283901544   158.153  0.0000     RGF93     N
 BRST  4231162.788  -332746.920  4745130.689   48.224976645   -4.294775142    65.806  2.0431     RGF93     A
 BRTM  4488750.876    50880.149  4515950.852   45.214910475    0.385791871   164.168  0.0000     RGF93     N
 BSCN  4314139.504   452626.027  4660703.804   47.144876240    5.592177530   359.536  0.0000     RGF93     B
 BUAN  4217191.623   395195.877  4753188.720   48.291014139    5.211292960   416.292  0.0000     RGF93     B
 BVOI  4073307.644   159230.523  4889249.008   50.221004817    2.141903739   189.317  0.0000     RGF93     B
 CACI  4343219.691   298591.337  4646526.509   47.032499448    3.555818945   610.198  0.0000     RGF93     B
 CAEN  4177020.583   -33326.830  4803950.209   49.105771816   -0.272567211   113.555  0.0000     RGF93     A
 CAMA  4613655.784   512014.116  4359734.225   43.234623888    6.195756083   213.560  0.0000     RGF93     B
 CAMP  4697281.031   726402.487  4238891.618   41.550567281    8.472676268    60.809  0.0000     RGF93     B
 CANC  4552982.684    49654.498  4451700.021   44.324652301    0.372941980   209.684  0.0000     RGF93     N
 CANE  4595118.336   565489.189  4372420.209   43.331644381    7.005658353    91.067  0.0000     RGF93     N
 CAPT  4572697.356   -20484.767  4431741.245   44.174278502   -0.152401878   160.092  0.0000     RGF93     B
 CARQ  4331877.337  -114119.182  4664433.737   47.175627918   -1.303259331    88.093  0.0000     RGF93     B
 CAUD  4090103.155   243087.826  4871835.142   50.072959298    3.240456918   167.586  0.0000     RGF93     N
 CAUS  4579782.717   129128.039  4422738.887   44.105359125    1.365414383   226.980  0.0000     RGF93     B
 CBRY  4448144.150   460394.051  4533028.356   45.345261006    5.543317456   324.692  0.0000     RGF93     A
 CDJ2  4538704.565   -41976.996  4466031.847   44.434362951   -0.314762143    65.137  0.0000     RGF93     B
 CEPI  4660743.796   183022.956  4335963.673   43.060887624    2.145566226   210.228  0.0000     RGF93     N
 CERN  4393400.824   466460.630  4585421.582   46.152502421    6.033801950   525.942  0.0000     RGF93     B
 CEVY  4150657.250   384104.120  4811678.768   49.171586556    5.171364973   246.229  0.0000     RGF93     B
 CHAS  4273685.471   340807.787  4706868.342   47.514565688    4.333398380   299.400  0.0000     RGF93     B
 CHBL  4194303.660    40758.173  4789137.763   48.583933275    0.332431650   283.967  0.0000     RGF93     B
 CHBR  4298046.334  -104125.907  4695682.229   47.425324700   -1.231606287   113.192  0.0720     RGF93     B
 CHBS  4335570.781   125377.510  4660837.714   47.150205618    1.392317390   162.366  0.0720     RGF93     B
